Movie_Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres,Release_Year
Twisted,25198598,15756005,50000000.0,Paramount Pictures,R,97,Thriller,2004
The Aviator,102610330,111109612,110000000.0,Miramax,PG-13,170,Biography,2004
The Aviator,102610330,111109612,110000000.0,Miramax,PG-13,170,Drama,2004
Around the World in 80 Days,24008137,48170758,110000000.0,Walt Disney Studios Motion Pictures,PG,120,Action,2004
Around the World in 80 Days,24008137,48170758,110000000.0,Walt Disney Studios Motion Pictures,PG,120,Adventure,2004
Around the World in 80 Days,24008137,48170758,110000000.0,Walt Disney Studios Motion Pictures,PG,120,Comedy,2004
Around the World in 80 Days,24008137,48170758,110000000.0,Walt Disney Studios Motion Pictures,PG,120,Family,2004
Around the World in 80 Days,24008137,48170758,110000000.0,Walt Disney Studios Motion Pictures,PG,120,Western,2004
Agent Cody Banks 2: Destination London,23630159,5188836,26000000.0,Metro-Goldwyn-Mayer (MGM),PG,100,Action,2004
Agent Cody Banks 2: Destination London,23630159,5188836,26000000.0,Metro-Goldwyn-Mayer (MGM),PG,100,Adventure,2004
Agent Cody Banks 2: Destination London,23630159,5188836,26000000.0,Metro-Goldwyn-Mayer (MGM),PG,100,Comedy,2004
Agent Cody Banks 2: Destination London,23630159,5188836,26000000.0,Metro-Goldwyn-Mayer (MGM),PG,100,Family,2004
Agent Cody Banks 2: Destination London,23630159,5188836,26000000.0,Metro-Goldwyn-Mayer (MGM),PG,100,Romance,2004
Agent Cody Banks 2: Destination London,23630159,5188836,26000000.0,Metro-Goldwyn-Mayer (MGM),PG,100,Sci-Fi,2004
Ella Enchanted,22918387,4470380,31000000.0,Miramax,PG,96,Comedy,2004
Ella Enchanted,22918387,4470380,31000000.0,Miramax,PG,96,Family,2004
Ella Enchanted,22918387,4470380,31000000.0,Miramax,PG,96,Fantasy,2004
Ella Enchanted,22918387,4470380,31000000.0,Miramax,PG,96,Romance,2004
Finding Neverland,51680613,64970000,25000000.0,Miramax,PG,106,Biography,2004
Finding Neverland,51680613,64970000,25000000.0,Miramax,PG,106,Drama,2004
Finding Neverland,51680613,64970000,25000000.0,Miramax,PG,106,Family,2004
The Alamo,22414961,3405000,107000000.0,Walt Disney Studios Motion Pictures,PG-13,137,Drama,2004
The Alamo,22414961,3405000,107000000.0,Walt Disney Studios Motion Pictures,PG-13,137,History,2004
The Alamo,22414961,3405000,107000000.0,Walt Disney Studios Motion Pictures,PG-13,137,War,2004
The Alamo,22414961,3405000,107000000.0,Walt Disney Studios Motion Pictures,PG-13,137,Western,2004
Mr. 3000,21811187,28190,36000000.0,Walt Disney Studios Motion Pictures,PG-13,104,Comedy,2004
Mr. 3000,21811187,28190,36000000.0,Walt Disney Studios Motion Pictures,PG-13,104,Drama,2004
Mr. 3000,21811187,28190,36000000.0,Walt Disney Studios Motion Pictures,PG-13,104,Romance,2004
Mr. 3000,21811187,28190,36000000.0,Walt Disney Studios Motion Pictures,PG-13,104,Sport,2004
Torque,21215059,25331138,40000000.0,Warner Bros.,PG-13,84,Action,2004
Torque,21215059,25331138,40000000.0,Warner Bros.,PG-13,84,Comedy,2004
Torque,21215059,25331138,40000000.0,Warner Bros.,PG-13,84,Crime,2004
Sideways,71503593,38203338,16000000.0,Fox Searchlight Pictures,R,127,Comedy,2004
Sideways,71503593,38203338,16000000.0,Fox Searchlight Pictures,R,127,Drama,2004
Sideways,71503593,38203338,16000000.0,Fox Searchlight Pictures,R,127,Romance,2004
Little Black Book,20698668,1336841,35000000.0,Revolution Studios,PG-13,107,Comedy,2004
Little Black Book,20698668,1336841,35000000.0,Revolution Studios,PG-13,107,Drama,2004
Little Black Book,20698668,1336841,35000000.0,Revolution Studios,PG-13,107,Romance,2004
